Time;Step;File;Log;Visa;Plate
20161228_19:43:37;Connection;NA;Connection attempt;admin;test
20161228_19:43:42;Connection;NA;Connection attempt;admin;test
20161228_19:43:47;Connection;NA;Sign in;admin;test
20161228_19:44:28;Connection;NA;Sign out;admin;test
20161228_19:44:32;Connection;NA;Sign in;admin;test
20161230_12:21:07;Connection;NA;Sign in;admin;test
20170224_14:25:26;Connection;NA;Sign in;admin;test
20170224_14:25:35;Connection;NA;Sign out;admin;test
20170224_14:30:43;Connection;NA;Board connection;;test
20170224_14:32:05;Connection;NA;Board connection;;test
20170224_14:32:25;Connection;NA;Board connection;;test
20170224_14:32:40;Connection;NA;Board connection;;test
20170224_14:34:04;Connection;NA;Board connection;;test
20170224_14:34:25;Connection;NA;Board connection;;test
20170224_14:36:21;Connection;NA;Board disconnection;;test
20170224_14:37:02;Connection;NA;Board connection;;test
20170224_14:38:23;Connection;NA;Board connection;;test
20170224_14:38:34;Connection;NA;Board disconnection;;test
20170224_14:41:29;Connection;NA;Board connection;;test
20170224_14:42:05;Connection;NA;Board connection;;test
20170224_14:43:32;Connection;NA;Board connection;;test
20170224_14:44:06;Connection;NA;Board connection;;test
20170224_14:44:25;Connection;NA;Board connection;;test
20170224_14:44:46;Connection;NA;Board connection;;test
20170303_10:34:36;Connection;NA;Board connection;;test
20170303_10:36:12;Connection;NA;Board disconnection;;test
20170307_09:33:22;Connection;NA;Board connection;;test
20170310_13:30:26;Connection;NA;Board connection;;test
20170310_13:37:10;Connection;NA;Board disconnection;;test
20170311_16:02:51;Connection;NA;Board connection;;test
20170311_16:03:59;Connection;NA;Board disconnection;;test
20170314_11:45:45;Connection;NA;Board connection;;test
20170316_08:46:15;Connection;NA;Board connection;;test
20170316_08:47:44;Connection;NA;Board connection;;test
20170316_08:48:03;SA;gcode/20170316_08:48:03Method.gcode;gcode/20170316_08:48:03Method.gcode;;test
20170316_08:48:32;SA;Emergency stop; LOG;;test
20170316_08:59:49;SA;gcode/20170316_08:59:49Method.gcode;gcode/20170316_08:59:49Method.gcode;;pesticide_n1
20170316_09:28:47;SA;gcode/20170316_09:28:47Method.gcode;gcode/20170316_09:28:47Method.gcode;;pesticide_n1
20170316_09:28:49;SA;Emergency stop; LOG;;pesticide_n1
20170316_09:28:50;SA;gcode/20170316_09:28:50Method.gcode;gcode/20170316_09:28:50Method.gcode;;pesticide_n1
20170316_09:29:35;SA;Emergency stop; LOG;;pesticide_n1
20170316_09:32:06;Visualisation;pictures/20170316_09:32:06.jpg;raspistill -w 1000 -h 1000 -n -o pictures/20170316_09:32:06.jpg --shutter 5000 --timeout 5000 --sharpness 0 --contrast 0 --brightness 50 --saturation 0 --ISO 0 --exposure auto --awb auto;;pesticide_n1
20170316_10:10:14;Connection;NA;Board connection;;pesticide_n1
20170316_10:17:33;Deriv;gcode/20170316_10:17:33Method.gcode;gcode/20170316_10:17:33Method.gcode;;pesticide_n1
20170316_10:19:47;Deriv;gcode/20170316_10:19:47Method.gcode;gcode/20170316_10:19:47Method.gcode;;pesticide_n1
20170316_10:19:48;Deriv;Emergency stop; LOG;;pesticide_n1
20170316_10:19:49;Deriv;gcode/20170316_10:19:49Method.gcode;gcode/20170316_10:19:49Method.gcode;;pesticide_n1
20170316_10:21:48;Deriv;gcode/20170316_10:21:48Method.gcode;gcode/20170316_10:21:48Method.gcode;;pesticide_n1
20170316_10:21:49;Deriv;Emergency stop; LOG;;pesticide_n1
20170316_10:21:50;Deriv;gcode/20170316_10:21:50Method.gcode;gcode/20170316_10:21:50Method.gcode;;pesticide_n1
20170316_10:49:57;Connection;NA;Board connection;;preservative_n0
20170316_10:49:59;Connection;NA;Board connection;;preservative_n0
20170316_10:52:41;SA;gcode/20170316_10:52:41Method.gcode;gcode/20170316_10:52:41Method.gcode;;preservative_n0
20170316_11:40:24;SA;gcode/20170316_11:40:24Method.gcode;gcode/20170316_11:40:24Method.gcode;;preservative_n0
20170316_11:40:25;SA;Emergency stop; LOG;;preservative_n0
20170316_11:40:27;SA;gcode/20170316_11:40:27Method.gcode;gcode/20170316_11:40:27Method.gcode;;preservative_n0
20170316_11:41:09;SA;Emergency stop; LOG;;preservative_n0
20170316_11:41:11;SA;gcode/20170316_11:41:11Method.gcode;gcode/20170316_11:41:11Method.gcode;;preservative_n0
20170316_11:41:12;SA;Emergency stop; LOG;;preservative_n0
20170316_11:41:15;Connection;NA;Board disconnection;;preservative_n0
20170316_11:42:15;Connection;NA;Board connection;;preservative_n0
20170316_11:42:32;SA;gcode/20170316_11:42:32Method.gcode;gcode/20170316_11:42:32Method.gcode;;preservative_n0
20170316_11:44:39;SA;Emergency stop; LOG;;preservative_n0
20170316_11:46:44;test_ink;gcode/20170316_11:46:44test_ink.gcode;gcode/20170316_11:46:44test_ink.gcode;;preservative_n0
20170316_11:46:46;test_ink;gcode/20170316_11:46:46test_ink.gcode;gcode/20170316_11:46:46test_ink.gcode;;preservative_n0
20170316_11:46:47;test_ink;gcode/20170316_11:46:47test_ink.gcode;gcode/20170316_11:46:47test_ink.gcode;;preservative_n0
20170316_11:46:48;test_ink;gcode/20170316_11:46:48test_ink.gcode;gcode/20170316_11:46:48test_ink.gcode;;preservative_n0
20170316_11:46:49;test_ink;gcode/20170316_11:46:49test_ink.gcode;gcode/20170316_11:46:49test_ink.gcode;;preservative_n0
20170316_11:46:55;test_ink;gcode/20170316_11:46:55test_ink.gcode;gcode/20170316_11:46:55test_ink.gcode;;preservative_n0
20170316_11:47:02;test_ink;gcode/20170316_11:47:02test_ink.gcode;gcode/20170316_11:47:02test_ink.gcode;;preservative_n0
20170316_11:47:30;SA;gcode/20170316_11:47:30Method.gcode;gcode/20170316_11:47:30Method.gcode;;preservative_n0
20170316_13:36:11;Connection;NA;Board connection;;test
20170316_13:38:53;test_ink;gcode/20170316_13:38:53test_ink.gcode;gcode/20170316_13:38:53test_ink.gcode;;test
20170316_13:41:02;test_ink;gcode/20170316_13:41:02test_ink.gcode;gcode/20170316_13:41:02test_ink.gcode;;test
20170316_13:42:32;test_ink;gcode/20170316_13:42:32test_ink.gcode;gcode/20170316_13:42:32test_ink.gcode;;test
20170316_14:03:44;test_ink;gcode/20170316_14:03:44test_ink.gcode;gcode/20170316_14:03:44test_ink.gcode;;test
20170316_15:59:47;Connection;NA;Board disconnection;;test
20170316_18:16:07;Connection;NA;Board connection;;test
20170316_18:20:11;Connection;NA;Board connection;;test
20170316_18:25:22;Connection;NA;Board connection;;test
20170316_18:25:24;Connection;NA;Board connection;;test
20170316_18:25:46;Deriv;gcode/20170316_18:25:46Method.gcode;gcode/20170316_18:25:46Method.gcode;;test
20170316_18:28:41;Connection;NA;Board connection;;test
20170316_18:28:58;Deriv;gcode/20170316_18:28:58Method.gcode;gcode/20170316_18:28:58Method.gcode;;test
20170316_18:29:29;Connection;NA;Board connection;;test
20170316_18:29:40;Deriv;gcode/20170316_18:29:40Method.gcode;gcode/20170316_18:29:40Method.gcode;;test
20170316_18:30:21;Connection;NA;Board connection;;test
20170316_18:30:29;Deriv;gcode/20170316_18:30:29Method.gcode;gcode/20170316_18:30:29Method.gcode;;test
20170316_18:31:22;Connection;NA;Board connection;;test
20170316_18:31:31;Deriv;gcode/20170316_18:31:31Method.gcode;gcode/20170316_18:31:31Method.gcode;;test
20170316_18:33:07;Connection;NA;Board connection;;test
20170316_18:33:14;Deriv;gcode/20170316_18:33:14Method.gcode;gcode/20170316_18:33:14Method.gcode;;test
20170316_18:35:27;Connection;NA;Board connection;;test
20170316_18:35:37;Deriv;gcode/20170316_18:35:37Method.gcode;gcode/20170316_18:35:37Method.gcode;;test
20170316_18:45:00;Connection;NA;Board connection;;test
20170316_18:45:16;Deriv;gcode/20170316_18:45:16Method.gcode;gcode/20170316_18:45:16Method.gcode;;test
20170316_18:45:27;Deriv;gcode/20170316_18:45:27Method.gcode;gcode/20170316_18:45:27Method.gcode;;test
20170316_18:45:28;Deriv;Emergency stop; LOG;;test
20170316_18:45:29;Deriv;gcode/20170316_18:45:29Method.gcode;gcode/20170316_18:45:29Method.gcode;;test
